Rank,Jogador,Time,Posição,Gols
1,Kaio Jorge,Cruzeiro,Atacante,15
2,Vegetti,Vasco,Atacante,12
2,Arrascaeta,Flamengo,Meio-campo,12
3,Pedro,Flamengo,Atacante,10
4,Pedro Raul,Ceará,Atacante,7
4,Reinaldo,Mirassol,Lateral-esquerdo,7
4,Renato Kayzer,Vitória,Atacante,7
5,Isidro Pitta,Bragantino,Atacante,6
5,Flaco López,Palmeiras,Atacante,6
5,Braithwaite,Grêmio,Atacante,6
6,Barreal,Santos,Meio-campo,5
6,Alan Patrick,Internacional,Meio-campo,5
6,Luciano Juba,Bahia,Lateral-esquerdo,5
6,Yuri Alberto,Corinthians,Atacante,5
6,Rayan,Vasco,Atacante,5
6,André Silva,São Paulo,Atacante,5
6,Cano,Fluminense,Atacante,5
6,Vitor Roque,Palmeiras,Atacante,5
6,Matheus Pereira,Cruzeiro,Meio-campo,5
6,Chico da Costa,Mirassol,Atacante,5
7,Gabriel,Cruzeiro,Atacante,4
7,Nuno Moreira,Vasco,Meio-campo,4
7,Gabriel Taliari,Juventude,Atacante,4
7,Laquintana,Bragantino,Atacante,4
7,Borré,Internacional,Atacante,4
7,Memphis Depay,Corinthians,Atacante,4
7,Eduardo Sasha,Bragantino,Atacante,4
7,Ferreira,São Paulo,Atacante,4
7,Facundo Torres,Palmeiras,Meio-campo,4
7,Batalla,Juventude,Atacante,4
7,Jhon Jhon,Bragantino,Meio-campo,4
7,Hulk,Atlético-MG,Atacante,4
7,Edson Carioca,Mirassol,Atacante,4
7,Galeano,Ceará,Atacante,4
7,Michel Araújo,Bahia,Meio-campo,4
7,Luciano,São Paulo,Atacante,4
7,Luiz Araújo,Flamengo,Atacante,4
8,Rony,Atlético-MG,Atacante,3
8,Léo Pereira,Flamengo,Zagueiro esquerdo,3
8,Lucero,Fortaleza,Atacante,3
8,Igor Jesus,Botafogo,Atacante,3
8,Piquerez,Palmeiras,Lateral-esquerdo,3
8,Cristian,Mirassol,Atacante,3
8,Gabriel,Mirassol,Meio-campo,3
8,Igor Gomes,Atlético-MG,Meio-campo,3
8,Savarino,Botafogo,Meio-campo,3
8,Plata,Flamengo,Atacante,3
8,Cristian Olivera,Grêmio,Atacante,3
8,Deyverson,Fortaleza,Atacante,3
8,Christian,Cruzeiro,Volante,3
